,Coronary heart disease,Stroke,Lung,Skin,Concussion,Influenza,Diabetes,Depression,High Blood Pressure,Overweight,,,,,,,,,,
Coronary heart disease,0,2,0,0,0,0,2,0,3,2,,,,,,,,,,
Stroke,2,0,0,0,0,0,2,1,2,3,,,,,,,,,,
Lung,0,0,1,0,0,1,0,1,0,1,,,,,,,,,,
Skin,0,0,0,1,0,0,0,1,1,1,,,,,,,,,,
Concussion,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,
Influenza,0,0,1,0,0,2,0,0,1,0,,,,,,,,,,
Diabetes,2,2,0,0,0,0,0,0,2,3,,,,,,,,,,
Depression,0,1,1,1,0,0,0,1,0,2,,,,,,,,,,
High Blood Pressure,3,2,0,1,0,1,2,0,1,4,,,,,,,,,,
Overweight,2,3,1,1,0,0,3,2,4,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
